108	Alexandre	Delettre	Team TotalEnergies	2.7M	10	0	0	0	10	3.7		1	0
109	Arnaud	Demare	Arkea – B&B Hotels	6.5M	9	0	0	0	9	1.4		3	0
110	Thibau	Nys	Lidl – Trek	4.4M	9	0	0	0	9	2.0		14	0
111	Ivan	Garcia Cortina	Movistar Team	3.9M	9	0	0	0	9	2.3		0	0
112	Alex	Baudin	EF Education – EasyPost	2.9M	8	0	0	0	8	2.8		5	0
113	Lewis	Askey	Groupama – FDJ	3.5M	8	0	0	0	8	2.3		5	0
114	Louis	Barre	Intermarche – Wanty	2.9M	8	0	0	0	8	2.8		30	0
115	Jarrad	Drizners	Lotto	2.5M	8	0	0	0	8	3.2		1	0
116	Marc	Hirschi	Tudor Pro Cycling Team	4.7M	8	0	0	0	8	1.7		1	0
117	Tobias	Foss	INEOS Grenadiers	3.8M	7	0	0	0	7	1.8		4	0
118	Krists	Neilands	Israel – Premier Tech	2.5M	6	0	0	0	6	2.4		5	2
119	Nelson	Oliveira	Movistar Team	2.8M	6	0	0	0	6	2.1		1	0
120	Quentin	Pacher	Groupama – FDJ	3.3M	5	0	0	0	5	1.5		0	0
121	Tiesj	Benoot	Team Visma | Lease a Bike	2.7M	5	0	0	0	5	1.9		1	0
122	Nils	Politt	UAE Team Emirates XRG	2.7M	5	0	0	0	5	1.9		1	0
123	Vito	Braet	Intermarche – Wanty	2.6M	4	0	0	0	4	1.5		1	0
124	Warren	Barguil	Team Picnic PostNL	3.5M	4	0	0	0	4	1.1		2	0
125	Cees	Bol	XDS Astana Team	5M	4	0	0	0	4	0.8	11	3	0
126	Clement	Venturini	Arkea – B&B Hotels	3.2M	3	0	0	0	3	0.9		3	0
127	Clement	Berthet	Decathlon AG2R La Mondiale Team	2.9M	3	0	0	0	3	1.0		0	0
128	Andreas	Leknessund	Uno-X Mobility	4.4M	3	0	0	0	3	0.7		2	0
129	Clement	Champoussin	XDS Astana Team	3.4M	3	0	0	0	3	0.9		18	0
130	Callum	Scotson	Decathlon AG2R La Mondiale Team	2.5M	2	0	0	0	2	0.8		4	0
131	Kasper	Asgreen	EF Education – EasyPost	4.1M	2	0	0	0	2	0.5		1	0
132	Alexey	Lutsenko	Israel – Premier Tech	4.2M	2	0	0	0	2	0.5		2	0
133	Mick	Van Dijke	Red Bull – BORA – hansgrohe	2.6M	2	0	0	0	2	0.8		0	0
134	Thomas	Gachignard	Team TotalEnergies	2.6M	2	0	0	0	2	0.8		2	0
135	Mathis	Le Berre	Arkea – B&B Hotels	2.5M	1	0	0	0	1	0.4		0	3
136	Emanuel	Buchmann	Cofidis	4.4M	1	0	0	0	1	0.2		0	0
137	Silvan	Dillier	Alpecin – Deceuninck	2.5M	0	0	0	0	0	0.0		3	6
138	Jonas	Rickaert	Alpecin – Deceuninck	2.7M	0	0	0	0	0	0.0		1	0
139	Gianni	Vermeersch	Alpecin – Deceuninck	2.9M	0	0	0	0	0	0.0		1	0
140	Emiel	Verstrynge	Alpecin – Deceuninck	2.5M	0	0	0	0	0	0.0		2	2
141	Kamil	Gradek	Bahrain – Victorious	2.6M	0	0	0	0	0	0.0		1	0
142	Jack	Haig	Bahrain – Victorious	4M	0	0	0	0	0	0.0	7	1	0
143	Robert	Stannard	Bahrain – Victorious	2.8M	0	0	0	0	0	0.0		2	0
144	Ion	Izagirre	Cofidis	3.5M	0	0	0	0	0	0.0		2	0
145	Stefan	Bissegger	Decathlon AG2R La Mondiale Team	3.6M	0	0	0	0	0	0.0	1	0	0
146	Oliver	Naesen	Decathlon AG2R La Mondiale Team	3.2M	0	0	0	0	0	0.0		1	0
147	Marijn	Van den Berg	EF Education – EasyPost	8.1M	0	0	0	0	0	0.0	9	2	0
148	Cyril	Barthe	Groupama – FDJ	2.5M	0	0	0	0	0	0.0	17	7	2
149	Filippo	Ganna	INEOS Grenadiers	4.8M	0	0	0	0	0	0.0	1	20	0
150	Connor	Swift	INEOS Grenadiers	2.9M	0	0	0	0	0	0.0		2	0
151	Geraint	Thomas	INEOS Grenadiers	7.9M	0	0	0	0	0	0.0		0	0
152	Hugo	Page	Intermarche – Wanty	3.2M	0	0	0	0	0	0.0		3	0
153	Laurenz	Rex	Intermarche – Wanty	2.6M	0	0	0	0	0	0.0		4	0
154	Jonas	Rutsch	Intermarche – Wanty	2.5M	0	0	0	0	0	0.0		4	1
