#
Voornaam
Achternaam
Team
Prijs
Etappe
Rood
Groen
Bolletjes
Totaal
RoR
Stop
# actief
# reserve
159	Jorge	Arcas	Movistar Team	2.5M	0	0	0	0	0	0.0		0	1
160	Nairo	Quintana	Movistar Team	4.8M	0	0	0	0	0	0.0		1	1
161	Giovanni	Aleotti	Red Bull BORA hansgrohe	2.7M	0	0	0	0	0	0.0		2	0
162	Nico	Denz	Red Bull BORA hansgrohe	3M	0	0	0	0	0	0.0	20	1	0
163	Patrick	Gamper	Red Bull BORA hansgrohe	2.5M	0	0	0	0	0	0.0	20	0	0
164	Daniel Felipe	Martinez	Red Bull BORA hansgrohe	12.7M	0	0	0	0	0	0.0	20	5	0
165	Casper	Pedersen	Soudal Quickstep	2.8M	0	0	0	0	0	0.0		0	0
166	Chris	Hamilton	Team dsm firmenich PostNL	3.5M	0	0	0	0	0	0.0		0	0
167	Enzo	Leijnse	Team dsm firmenich PostNL	2.5M	0	0	0	0	0	0.0		0	0
168	Tim	Naberman	Team dsm firmenich PostNL	2.5M	0	0	0	0	0	0.0		0	0
169	Julius	Van den Berg	Team dsm firmenich PostNL	3M	0	0	0	0	0	0.0		1	0
170	Welay Hagos	Berhe	Team Jayco AlUla	2.5M	0	0	0	0	0	0.0	12	0	0
171	Alessandro	De Marchi	Team Jayco AlUla	3M	0	0	0	0	0	0.0		0	0
172	Chris	Harper	Team Jayco AlUla	4M	0	0	0	0	0	0.0	11	1	0
173	Callum	Scotson	Team Jayco AlUla	2.5M	0	0	0	0	0	0.0	15	0	0
174	Robert	Gesink	Team Visma Lease a Bike	2.5M	0	0	0	0	0	0.0		1	4
175	Cian	Uijtdebroeks	Team Visma Lease a Bike	7M	0	0	0	0	0	0.0	14	9	0
176	Dylan	Van Baarle	Team Visma Lease a Bike	3M	0	0	0	0	0	0.0	2	0	0
